species,matric_pot,hyphal_rate,type
a.gal1.s,-1,0.449019608,measured
a.gal1.s,-1.5,0.343137255,measured
a.gal1.s,-2.5,0.223529412,measured
a.gal1.s,-3.5,0.162745098,measured
a.gal1.s,-4.5,0.178431373,measured
a.gal1.s,0,0,measured
a.gal1.s,-0.5,0.247058824,measured
a.gal10.n,-1,0.549019608,measured
a.gal10.n,-1.5,0.492156863,measured
a.gal10.n,-2.5,0.3,measured
a.gal10.n,-3.5,0.092156863,measured
a.gal10.n,-4.5,0.084313725,measured
a.gal10.n,0,0,measured
a.gal10.n,-0.5,0.347058824,measured
a.gal2.s,-1,0.374509804,measured
a.gal2.s,-1.5,0.376470588,measured
a.gal2.s,-2.5,0.225490196,measured
a.gal2.s,-3.5,0.239215686,measured
a.gal2.s,-4.5,0.178431373,measured
a.gal2.s,0,0,measured
a.gal2.s,-0.5,0.209803922,measured
a.gal3.s,-1,0.296078431,measured
a.gal3.s,-1.5,0.307843137,measured
a.gal3.s,-2.5,0.211764706,measured
a.gal3.s,-3.5,0.188235294,measured
a.gal3.s,-4.5,0.180392157,measured
a.gal3.s,0,0,measured
a.gal3.s,-0.5,0.245098039,measured
a.gal4.s,-1,0.254901961,measured
a.gal4.s,-1.5,0.18627451,measured
a.gal4.s,-2.5,0.219607843,measured
a.gal4.s,-3.5,0.117647059,measured
a.gal4.s,-4.5,0.162745098,measured
a.gal4.s,0,0,measured
a.gal4.s,-0.5,0.154901961,measured
a.gal5.s,-1,0.594117647,measured
a.gal5.s,-1.5,0.531372549,measured
a.gal5.s,-2.5,0.241176471,measured
a.gal5.s,-3.5,0.252941176,measured
a.gal5.s,-4.5,0.164705882,measured
a.gal5.s,0,0,measured
a.gal5.s,-0.5,0.250980392,measured
a.gal6.n,-1,0.150980392,measured
a.gal6.n,-1.5,0.360784314,measured
a.gal6.n,-2.5,0.280392157,measured
a.gal6.n,-3.5,0.252941176,measured
a.gal6.n,-4.5,0.203921569,measured
a.gal6.n,0,0,measured
a.gal6.n,-0.5,0.492156863,measured
a.gal8.n,-1,0.521568627,measured
a.gal8.n,-1.5,0.366666667,measured
a.gal8.n,-2.5,0.215686275,measured
a.gal8.n,-3.5,0.156862745,measured
a.gal8.n,-4.5,0.131372549,measured
a.gal8.n,0,0,measured
a.gal8.n,-0.5,0.245098039,measured
a.gal9.n,-1,0.582352941,measured
a.gal9.n,-1.5,0.474509804,measured
a.gal9.n,-2.5,0.21372549,measured
a.gal9.n,-3.5,0.160784314,measured
a.gal9.n,-4.5,0.184313725,measured
a.gal9.n,0,0,measured
a.gal9.n,-0.5,0.758823529,measured
a.musc.s,-1,0.742857143,measured
a.musc.s,-1.5,0.161904762,measured
a.musc.s,-2.5,0.2,measured
a.musc.s,-3.5,0.157142857,measured
a.musc.s,-4.5,0,measured
a.musc.s,0,0,measured
a.musc.s,-0.5,0.833333333,measured
a.sin.n,-1,0.628571429,measured
a.sin.n,-1.5,0.40952381,measured
a.sin.n,-2.5,0.228571429,measured
a.sin.n,-3.5,0.114285714,measured
a.sin.n,-4.5,0.057142857,measured
a.sin.n,0,0,measured
a.sin.n,-0.5,0.771428571,measured
a.tab.n,-1,0.419047619,measured
a.tab.n,-1.5,0.361904762,measured
a.tab.n,-2.5,0.295238095,measured
a.tab.n,-3.5,0.247619048,measured
a.tab.n,-4.5,0.19047619,measured
a.tab.n,0,0,measured
a.tab.n,-0.5,0.504761905,measured
a.tab.s,-1,0.642857143,measured
a.tab.s,-1.5,0.404761905,measured
a.tab.s,-2.5,0.276190476,measured
a.tab.s,-3.5,0.114285714,measured
a.tab.s,-4.5,0.052380952,measured
a.tab.s,0,0,measured
a.tab.s,-0.5,1.066666667,measured
b.scab.s,-1,4.047619048,measured
b.scab.s,-1.5,3.823809524,measured
b.scab.s,-2.5,1.985714286,measured
b.scab.s,-3.5,1.728571429,measured
b.scab.s,-4.5,0,measured
b.scab.s,0,0,measured
b.scab.s,-0.5,3.238095238,measured
f.fom.n,-1,2.995238095,measured
f.fom.n,-1.5,1.547619048,measured
f.fom.n,-2.5,0.676190476,measured
f.fom.n,-3.5,0.238095238,measured
f.fom.n,-4.5,0.119047619,measured
f.fom.n,0,0,measured
f.fom.n,-0.5,4.714285714,measured
h.crust.n,-1,1.30952381,measured
h.crust.n,-1.5,0.2,measured
h.crust.n,-2.5,-1.16E-18,measured
h.crust.n,-3.5,0,measured
h.crust.n,-4.5,0,measured
h.crust.n,0,0,measured
h.crust.n,-0.5,1.961904762,measured
h.seti.n,-1,4.252380952,measured
h.seti.n,-1.5,0.833333333,measured
h.seti.n,-2.5,0.347619048,measured
h.seti.n,-3.5,0.038095238,measured
h.seti.n,-4.5,0,measured
h.seti.n,0,0,measured
h.seti.n,-0.5,4.10952381,measured
h.seti.s,-1,4.180952381,measured
h.seti.s,-1.5,3.038095238,measured
h.seti.s,-2.5,0.819047619,measured
h.seti.s,-3.5,0.219047619,measured
h.seti.s,-4.5,0,measured
h.seti.s,0,0,measured
h.seti.s,-0.5,4.704761905,measured
l.carib.s,-1,4.042857143,measured
l.carib.s,-1.5,3.647619048,measured
l.carib.s,-2.5,2.295238095,measured
l.carib.s,-3.5,0.10952381,measured
l.carib.s,-4.5,0,measured
l.carib.s,0,0,measured
l.carib.s,-0.5,3.771428571,measured
l.conif.n,-1,4.2,measured
l.conif.n,-1.5,2.888888889,measured
l.conif.n,-2.5,0.044444444,measured
l.conif.n,-3.5,0,measured
l.conif.n,-4.5,0,measured
l.conif.n,0,0,measured
l.conif.n,-0.5,5.155555556,measured
l.crin.s,-1,4.177777778,measured
l.crin.s,-1.5,3.166666667,measured
l.crin.s,-2.5,1.522222222,measured
l.crin.s,-3.5,0.822222222,measured
l.crin.s,-4.5,0,measured
l.crin.s,0,0,measured
l.crin.s,-0.5,6.377777778,measured
l.gilb.s,-1,2.988888889,measured
l.gilb.s,-1.5,2.611111111,measured
l.gilb.s,-2.5,0.611111111,measured
l.gilb.s,-3.5,0,measured
l.gilb.s,-4.5,0,measured
l.gilb.s,0,0,measured
l.gilb.s,-0.5,4.144444444,measured
l.huron.n,-1,2.847619048,measured
l.huron.n,-1.5,2.033333333,measured
l.huron.n,-2.5,0.00952381,measured
l.huron.n,-3.5,0.004761905,measured
l.huron.n,-4.5,0,measured
l.huron.n,0,0,measured
l.huron.n,-0.5,3.39047619,measured
m.meri.s,-1,1.052380952,measured
m.meri.s,-1.5,0,measured
m.meri.s,-2.5,0,measured
m.meri.s,-3.5,0,measured
m.meri.s,-4.5,0,measured
m.meri.s,0,0,measured
m.meri.s,-0.5,1.3,measured
m.trem.n,-1,8.344444444,measured
m.trem.n,-1.5,3.622222222,measured
m.trem.n,-2.5,1.122222222,measured
m.trem.n,-3.5,0,measured
m.trem.n,-4.5,0,measured
m.trem.n,0,0,measured
m.trem.n,-0.5,10.62222222,measured
m.trem.s,-1,7.366666667,measured
m.trem.s,-1.5,4.088888889,measured
m.trem.s,-2.5,1.133333333,measured
m.trem.s,-3.5,0,measured
m.trem.s,-4.5,0,measured
m.trem.s,0,0,measured
m.trem.s,-0.5,9.622222222,measured
p.alba.s,-1,7.811111111,measured
p.alba.s,-1.5,4.611111111,measured
p.alba.s,-2.5,3.144444444,measured
p.alba.s,-3.5,1,measured
p.alba.s,-4.5,0,measured
p.alba.s,0,0,measured
p.alba.s,-0.5,9.277777778,measured
p.flav.n,-1,6.033333333,measured
p.flav.n,-1.5,4.544444444,measured
p.flav.n,-2.5,1.977777778,measured
p.flav.n,-3.5,0.355555556,measured
p.flav.n,-4.5,0,measured
p.flav.n,0,0,measured
p.flav.n,-0.5,8.044444444,measured
p.flav.s,-1,10.86666667,measured
p.flav.s,-1.5,9.3,measured
p.flav.s,-2.5,5.822222222,measured
p.flav.s,-3.5,3.8,measured
p.flav.s,-4.5,1.866666667,measured
p.flav.s,0,0,measured
p.flav.s,-0.5,10.8,measured
p.gilv.n,-1,3.733333333,measured
p.gilv.n,-1.5,2.50952381,measured
p.gilv.n,-2.5,0.7,measured
p.gilv.n,-3.5,0.3,measured
p.gilv.n,-4.5,0.128571429,measured
p.gilv.n,0,0,measured
p.gilv.n,-0.5,4.042857143,measured
p.har.n,-1,1.7,measured
p.har.n,-1.5,1.304761905,measured
p.har.n,-2.5,0.528571429,measured
p.har.n,-3.5,0.128571429,measured
p.har.n,-4.5,0.038095238,measured
p.har.n,0,0,measured
p.har.n,-0.5,1.538095238,measured
p.pend.n,-1,3.828571429,measured
p.pend.n,-1.5,2.447619048,measured
p.pend.n,-2.5,0.29047619,measured
p.pend.n,-3.5,0.166666667,measured
p.pend.n,-4.5,0,measured
p.pend.n,0,0,measured
p.pend.n,-0.5,4.057142857,measured
p.robin.n,-1,2.276190476,measured
p.robin.n,-1.5,1.485714286,measured
p.robin.n,-2.5,0.571428571,measured
p.robin.n,-3.5,0.261904762,measured
p.robin.n,-4.5,0,measured
p.robin.n,0,0,measured
p.robin.n,-0.5,2.295238095,measured
p.robin.s,-1,2.1,measured
p.robin.s,-1.5,1.304761905,measured
p.robin.s,-2.5,0.561904762,measured
p.robin.s,-3.5,0.09047619,measured
p.robin.s,-4.5,0,measured
p.robin.s,0,0,measured
p.robin.s,-0.5,2.142857143,measured
p.rufa.acer.n,-1,9.1,measured
p.rufa.acer.n,-1.5,1.477777778,measured
p.rufa.acer.n,-2.5,0.088888889,measured
p.rufa.acer.n,-3.5,0,measured
p.rufa.acer.n,-4.5,0,measured
p.rufa.acer.n,0,0,measured
p.rufa.acer.n,-0.5,8.75,measured
p.rufa.acer.s,-1,10.15555556,measured
p.rufa.acer.s,-1.5,4.655555556,measured
p.rufa.acer.s,-2.5,0.566666667,measured
p.rufa.acer.s,-3.5,0,measured
p.rufa.acer.s,-4.5,0,measured
p.rufa.acer.s,0,0,measured
p.rufa.acer.s,-0.5,8.511111111,measured
p.sang.s,-1,4.488888889,measured
p.sang.s,-1.5,3.9,measured
p.sang.s,-2.5,1.933333333,measured
p.sang.s,-3.5,0.044444444,measured
p.sang.s,-4.5,0,measured
p.sang.s,0,0,measured
p.sang.s,-0.5,4.966666667,measured
r.sacc.s,-1,5.611111111,measured
r.sacc.s,-1.5,4.233333333,measured
r.sacc.s,-2.5,2.244444444,measured
r.sacc.s,-3.5,0.288888889,measured
r.sacc.s,-4.5,0,measured
r.sacc.s,0,0,measured
r.sacc.s,-0.5,5.133333333,measured
s.comm.n,-1,6.455555556,measured
s.comm.n,-1.5,6.011111111,measured
s.comm.n,-2.5,4.411111111,measured
s.comm.n,-3.5,1.344444444,measured
s.comm.n,-4.5,0.555555556,measured
s.comm.n,0,0,measured
s.comm.n,-0.5,4.411111111,measured
s.comm.s,-1,3.833333333,measured
s.comm.s,-1.5,2.811111111,measured
s.comm.s,-2.5,2.277777778,measured
s.comm.s,-3.5,1.1,measured
s.comm.s,-4.5,0.255555556,measured
s.comm.s,0,0,measured
s.comm.s,-0.5,2.566666667,measured
t.chion.n,-1,2.104761905,measured
t.chion.n,-1.5,0.347619048,measured
t.chion.n,-2.5,0,measured
t.chion.n,-3.5,0,measured
t.chion.n,-4.5,0,measured
t.chion.n,0,0,measured
t.chion.n,-0.5,3.876190476,measured
x.sub.s,-1,0.719047619,measured
x.sub.s,-1.5,0.966666667,measured
x.sub.s,-2.5,0.647619048,measured
x.sub.s,-3.5,0.647619048,measured
x.sub.s,-4.5,0.580952381,measured
x.sub.s,0,0,measured
x.sub.s,-0.5,0.771428571,measured
